COD_PRO;NOM_PRO;YEAR_DET;MES_DOC;COD_PLA;COD_MES;COD_ZON;COB;VTA;cod_ven
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LB1;L1;RC11;7;285.62;000266
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LB1;L1;RC7;5;282.49;000356
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LB1;L1;RC9;2;113.82;000267
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LB1;N6;RC19;2;73.89;000252
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LBY;X1;L8B;1;55.84;000314
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LBY;X1;L8C;1;218.9;000281
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LIM;OF;O17;3;40.19;009999
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LME;E1;RE10;5;202.41;000334
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LME;E1;RE25;6;240.42;000338
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LME;E1;RE6;7;184.16;000330
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LME;E1;RE8;13;375.63;000332
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LME;E2;RE19;5;160.79;000346
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LME;E2;RE20;10;606.66;000347
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;A1;RN14;12;449.97;000379
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;A1;RN15;9;331.64;000380
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;A1;RN16;10;409.43;000381
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;A2;RN10;36;1467.07;000375
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;N2;RN52;2;42.1;000010
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;N3;RN35;10;500.47;000400
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;N3;RN36;11;473.41;000401
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;N3;RN38;16;748.84;000403
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;N3;RN41;4;160;000406
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;N5;RN43;4;130.63;000408
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;N5;RN45;5;180.45;000410
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMN;N5;RN48;8;446.57;000413
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMS;S1;RS14;18;779.49;000299
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMS;S1;RS22;12;344.3;000307
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMS;S1;RS5;12;451.25;000290
20100030838;G.W. YICHANG & CIA S.A.;2021;10;LMS;S2;RS25;16;589.27;000246
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LB1;L1;RC10;3;84.52;000269
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LB1;L1;RC6;2;134.96;000363
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LB1;N6;RC14;1;58.17;000254
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LB1;N6;RC15;4;56.65;000255
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LB1;N6;RC16;1;20.81;000249
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LME;E1;RE3;2;54.06;000327
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LME;E1;RE4;5;140.17;000328
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LME;E1;RE7;2;31.48;000331
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LME;E2;RE13;11;719.69;000340
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LME;E2;RE14;6;117.31;000341
20100030838;G.W. YICHANG & CIA S.A.;2021;11;LME;E2;RE23;4;192.78;000349
